"name","lng","lat","state","sector_label"
"Benedict College",-81.021412,34.011285,"SC","Private"
"Benedictine College",-95.111424,39.572953,"KS","Private"
"Benedictine University",-88.095948,41.776395,"IL","Private"
"Benjamin Franklin Institute of Technology",-71.070231,42.346023,"MA","Private"
"Bennett College",-79.77998,36.067531,"NC","Private"
"Bennington College",-73.237498,42.92004,"VT","Private"
"Bentley University",-71.220148,42.388798,"MA","Private"
"Berea College",-84.289332,37.573334,"KY","Private"
"Bergin University of Canine Studies",-122.720721,38.35375,"CA","Private"
"Berkeley College-New York",-73.979577,40.754043,"NY","For-Profit"
"Berkeley College-Woodland Park",-74.188765,40.90208,"NJ","For-Profit"
"Berklee College of Music",-71.08703,42.346895,"MA","Private"
"Berry College",-85.189077,34.289254,"GA","Private"
"Bet Medrash Gadol Ateret Torah",-73.969717,40.607697,"NY","Private"
"Beth Hamedrash Shaarei Yosher Institute",-73.981088,40.635503,"NY","Private"
"Beth Hatalmud Rabbinical College",-73.993039,40.605394,"NY","Private"
"Beth Medrash Govoha",-74.220777,40.095461,"NJ","Private"
"Beth Medrash Meor Yitzchok",-74.060831,41.10067,"NY","Private"
"Bethany College",-97.673173,38.5786,"KS","Private"
"Bethany College",-80.560896,40.20567,"WV","Private"
"Bethany Global University",-93.372331,44.79777,"MN","Private"
"Bethany Lutheran College",-93.990744,44.166485,"MN","Private"
"Bethany Theological Seminary",-84.9099,39.8265,"IN","Private"
"Bethel College",-76.409141,37.04095,"VA","Private"
"Bethel College-Indiana",-86.191642,41.677671,"IN","Private"
"Bethel College-North Newton",-97.342572,38.07525,"KS","Private"
"Bethel Seminary-San Diego",-117.066378,32.765189,"CA","Private"
"Bethel Seminary-St Paul",-93.159786,45.058775,"MN","Private"
"Bethel University",-93.159295,45.057091,"MN","Private"
"Bethel University",-88.516162,36.139271,"TN","Private"
"Bethesda University",-117.941323,33.842295,"CA","Private"
"Bethlehem College & Seminary",-93.255411,44.96915,"MN","Private"
"Bethune-Cookman University",-81.031429,29.210193,"FL","Private"
"Beulah Heights University",-84.358086,33.737022,"GA","Private"
"Beverly Hills Design Institute",-118.375621,34.06463,"CA","For-Profit"
"Bexley Hall Seabury Western Theological Seminary Federation  Inc.",-87.845761,41.98727,"IL","Private"
"Biblical Theological Seminary",-75.303897,40.281414,"PA","Private"
"Biola University",-118.017342,33.904823,"CA","Private"
"Birmingham Southern College",-86.853636,33.515453,"AL","Private"
"Birthingway College of Midwifery",-122.538471,45.476809,"OR","Private"
"Bismarck State College",-100.817975,46.820651,"ND","Public"
"Black Hills State University",-103.870009,44.495536,"SD","Public"
"Blackburn College",-89.872248,39.288298,"IL","Private"
"Blessing Rieman College of Nursing and Health Sciences",-91.398548,39.935896,"IL","Private"
"Bloomfield College",-74.19593,40.794218,"NJ","Private"
"Bloomsburg University of Pennsylvania",-76.446383,41.007989,"PA","Public"
"Blue Mountain College",-89.02924,34.67209,"MS","Private"
"Bluefield College",-81.244879,37.245681,"VA","Private"
"Bluefield State College",-81.235428,37.26688,"WV","Public"
"Bluffton University",-83.897678,40.896998,"OH","Private"
"Bob Jones University",-82.36329,34.87402,"SC","For-Profit"
"Boise Bible College",-116.290607,43.657437,"ID","Private"
"Boise State University",-116.205789,43.604403,"ID","Public"
"Bon Secours Memorial College of Nursing",-77.433191,37.646876,"VA","Private"
"Boricua College",-73.9458,40.833434,"NY","Private"
"Boston Architectural College",-71.085851,42.34867,"MA","Private"
"Boston Baptist College",-71.1103,42.254037,"MA","Private"
"Boston College",-71.171488,42.337688,"MA","Private"
"Boston Graduate School of Psychoanalysis Inc",-71.133025,42.339481,"MA","Private"
"Boston University",-71.09984,42.349581,"MA","Private"
"Bowdoin College",-69.965241,43.906902,"ME","Private"
"Bowie State University",-76.759721,39.018185,"MD","Public"
"Bowling Green State University-Main Campus",-83.637531,41.377036,"OH","Public"
"Bradley University",-89.61462,40.697605,"IL","Private"
"Brandeis University",-71.254716,42.364947,"MA","Private"
"Brandman University",-117.768624,33.655684,"CA","Private"
"Brazosport College",-95.409004,29.04836,"TX","Public"
"Brenau University",-83.821513,34.303117,"GA","Private"
"Brescia University",-87.111533,37.768989,"KY","Private"
"Brevard College",-82.729763,35.237657,"NC","Private"
"Brewton-Parker College",-82.586136,32.185718,"GA","Private"
"Briar Cliff University",-96.42696,42.526919,"IA","Private"
"Briarcliffe College",-73.495305,40.758196,"NY","For-Profit"
"Bridgewater College",-78.969011,38.378391,"VA","Private"
"Bridgewater State University",-70.966058,41.987785,"MA","Public"
"Brigham Young University-Hawaii",-157.925358,21.641172,"HI","Private"
"Brigham Young University-Idaho",-111.784728,43.815384,"ID","Private"
"Brigham Young University-Provo",-111.649281,40.250851,"UT","Private"
"Bristol University",-117.882331,33.79556,"CA","For-Profit"
"Brite Divinity School",-97.361561,32.709543,"TX","Private"
"Broadview Entertainment Arts University",-111.884241,40.71722,"UT","For-Profit"
"Broadview University-Boise",-116.360151,43.58943,"ID","For-Profit"
"Broadview University-Layton",-111.981552,41.068684,"UT","For-Profit"
"Broadview University-Orem",-111.72321,40.314203,"UT","For-Profit"
"Broadview University-West Jordan",-111.92378,40.700265,"UT","For-Profit"
"Brookline College-Albuquerque",-106.687499,35.086652,"NM","For-Profit"
"Brookline College-Phoenix",-112.15007,33.525384,"AZ","For-Profit"
"Brookline College-Tucson",-110.876375,32.207932,"AZ","For-Profit"
"Brooklyn Law School",-73.990535,40.692662,"NY","Private"
"Brooks Institute",-119.295231,34.33851,"CA","For-Profit"
"Broward College",-80.23541,26.07972,"FL","Public"
"Brown Mackie College-Akron",-81.590449,41.096846,"OH","For-Profit"
"Brown Mackie College-Albuquerque",-106.52703,35.07932,"NM","For-Profit"
"Brown Mackie College-Birmingham",-86.828321,33.46783,"AL","For-Profit"
"Brown Mackie College-Boise",-116.295147,43.590789,"ID","For-Profit"
"Brown Mackie College-Cincinnati",-84.45701,39.255963,"OH","For-Profit"
"Brown Mackie College-Dallas",-97.115771,32.84155,"TX","For-Profit"
"Brown Mackie College-Findlay",-83.619502,41.058515,"OH","For-Profit"
"Brown Mackie College-Fort Wayne",-85.101966,41.109132,"IN","For-Profit"
"Brown Mackie College-Greenville",-82.394491,34.853438,"SC","For-Profit"
"Brown Mackie College-Indianapolis",-86.157795,39.783638,"IN","For-Profit"
"Brown Mackie College-Louisville",-85.696715,38.157272,"KY","For-Profit"
"Brown Mackie College-Merrillville",-87.326134,41.473702,"IN","For-Profit"
"Brown Mackie College-Miami",-80.349751,25.97425,"FL","For-Profit"
"Brown Mackie College-Michigan City",-86.896998,41.681625,"IN","For-Profit"
"Brown Mackie College-North Canton",-81.429211,40.844878,"OH","For-Profit"
"Brown Mackie College-Northern Kentucky",-84.571708,39.041923,"KY","For-Profit"
"Brown Mackie College-Oklahoma City",-97.639761,35.55989,"OK","For-Profit"
"Brown Mackie College-Phoenix",-112.118464,33.6054,"AZ","For-Profit"
"Brown Mackie College-Salina",-97.609673,38.839827,"KS","For-Profit"
"Brown Mackie College-San Antonio",-98.555841,29.49426,"TX","For-Profit"
"Brown Mackie College-South Bend",-86.2053,41.71037,"IN","For-Profit"
"Brown Mackie College-St Louis",-90.43652,38.54435,"MO","For-Profit"
"Brown Mackie College-Tucson",-110.895086,32.236736,"AZ","For-Profit"
"Brown Mackie College-Tulsa",-95.853318,36.09694,"OK","For-Profit"
"Brown University",-71.404467,41.827605,"RI","Private"
"Bryan College of Health Sciences",-96.651532,40.796768,"NE","Private"
"Bryan College-Dayton",-85.016596,35.495721,"TN","Private"
"Bryan University",-118.302882,34.061406,"CA","For-Profit"
"Bryan University",-93.247901,37.13528,"MO","For-Profit"
"Bryant & Stratton College-Akron",-81.654881,41.12821,"OH","For-Profit"
"Bryant & Stratton College-Albany",-73.810438,42.697996,"NY","For-Profit"
"Bryant & Stratton College-Amherst",-78.741691,43.04047,"NY","For-Profit"
"Bryant & Stratton College-Bayshore",-87.91537,43.11936,"WI","For-Profit"
"Bryant & Stratton College-Buffalo",-78.874095,42.886474,"NY","For-Profit"
"Bryant & Stratton College-Cleveland",-81.666301,41.50366,"OH","For-Profit"
"Bryant & Stratton College-Eastlake",-81.43532,41.639256,"OH","For-Profit"
"Bryant & Stratton College-Greece",-77.696582,43.240605,"NY","For-Profit"
"Bryant & Stratton College-Hampton",-76.39268,37.04386,"VA","For-Profit"
"Bryant & Stratton College-Milwaukee",-87.915286,43.039176,"WI","For-Profit"
"Bryant & Stratton College-Online",-78.769037,42.790477,"NY","For-Profit"
"Bryant & Stratton College-Parma",-81.783618,41.40511,"OH","For-Profit"
"Bryant & Stratton College-Richmond",-77.542139,37.460414,"VA","For-Profit"
"Bryant & Stratton College-Southtowns",-78.770366,42.790182,"NY","For-Profit"
