"zipcode","returns","income","mean_income"
"27028",11250,551889000,49056.8
"28021",5420,265626000,49008.4870848708
"28071",1210,59300000,49008.2644628099
"27616",23600,1155827000,48975.7203389831
"27604",21480,1051857000,48969.1340782123
"28570",9780,477564000,48830.6748466258
"28660",950,46275000,48710.5263157895
"27349",2610,127116000,48703.4482758621
"28679",830,40403000,48678.313253012
"27047",440,21413000,48665.9090909091
"27577",9560,465160000,48656.9037656904
"28311",15190,738880000,48642.5279789335
"28133",1140,55408000,48603.5087719298
"28139",7570,367717000,48575.5614266843
"27315",840,40789000,48558.3333333333
"28527",520,25245000,48548.0769230769
"27974",530,25726000,48539.6226415094
"27860",800,38819000,48523.75
"28658",11830,571382000,48299.4082840237
"28701",1750,84378000,48216
"28630",8270,398718000,48212.5755743652
"28138",4440,213826000,48159.009009009
"28692",1750,84069000,48039.4285714286
"27208",670,32093000,47900
"28273",18110,867373000,47894.6990612921
"27314",450,21539000,47864.4444444444
"28640",1900,90912000,47848.4210526316
"28577",130,6208000,47753.8461538462
"27239",3750,179036000,47742.9333333333
"27207",1530,72998000,47711.1111111111
"28214",18000,858616000,47700.8888888889
"27565",10870,518318000,47683.3486660534
"28721",4480,213524000,47661.6071428571
"27306",2550,121453000,47628.6274509804
"28735",120,5713000,47608.3333333333
"27252",770,36658000,47607.7922077922
"28128",3030,144248000,47606.600660066
"28081",11390,541735000,47562.335381914
"28751",1630,77506000,47549.6932515337
"27258",2970,141003000,47475.7575757576
"27979",640,30339000,47404.6875
"27298",4500,213320000,47404.4444444444
"27053",1280,60605000,47347.65625
"28573",910,43077000,47337.3626373626
"28262",18810,889984000,47314.4072301967
"27048",3370,158919000,47156.9732937685
"27291",660,31006000,46978.7878787879
"28734",10950,514408000,46977.899543379
"27806",920,43209000,46966.3043478261
"27574",6180,290113000,46943.8511326861
"27938",600,28154000,46923.3333333333
"27546",6810,319250000,46879.5888399413
"28462",5130,240328000,46847.5633528265
"27863",5260,246360000,46836.5019011407
"28326",8280,387799000,46835.6280193237
"28761",3190,149363000,46822.2570532915
"28681",10260,480239000,46806.9200779727
"28112",11360,531673000,46802.2007042254
"27551",820,38376000,46800
"27957",630,29468000,46774.6031746032
"27919",470,21970000,46744.6808510638
"27253",13420,627219000,46737.6304023845
"28147",10720,500732000,46710.0746268657
"27828",3620,169014000,46688.9502762431
"27007",900,41999000,46665.5555555556
"27909",16830,785150000,46651.8122400475
"28348",15110,704020000,46592.9847782925
"28756",1690,78654000,46540.8284023669
"28429",3600,167463000,46517.5
"28904",3470,161118000,46431.7002881844
"27935",610,28312000,46413.1147540984
"27926",690,3.2e+07,46376.8115942029
"27317",7320,339477000,46376.6393442623
"27865",760,35241000,46369.7368421053
"28779",6380,295689000,46346.2382445141
"27524",5150,238383000,46287.9611650485
"28694",3420,157971000,46190.350877193
"27042",300,13841000,46136.6666666667
"28659",8170,376764000,46115.5446756426
"28349",1460,67240000,46054.7945205479
"27016",690,31714000,45962.3188405797
"27025",4700,215807000,45916.3829787234
"28167",930,42673000,45884.9462365591
"27889",11880,544507000,45833.9225589226
"27350",2690,123146000,45779.1821561338
"28754",3230,147845000,45772.4458204334
"27013",2760,126277000,45752.5362318841
"28334",9700,443510000,45722.6804123711
"27980",900,41118000,45686.6666666667
"28001",10720,489591000,45670.802238806
"28654",1550,70669000,45592.9032258065
"27030",15210,692595000,45535.5029585799
"28366",2110,95963000,45480.0947867299
"28524",160,7267000,45418.75
"27127",17240,782888000,45411.1368909513
"28621",4000,181596000,45399
"28054",16730,759127000,45375.1942618051
"27809",2130,96588000,45346.4788732394
"28520",110,4986000,45327.2727272727
"28902",600,27175000,45291.6666666667
"27507",740,33489000,45255.4054054054
"28323",1660,75094000,45237.3493975904
"27542",3960,179062000,45217.6767676768
"27966",540,24416000,45214.8148148148
"27320",16190,730811000,45139.6541074737
"27876",490,22101000,45104.0816326531
"28650",5590,251829000,45049.9105545617
"27937",1560,70267000,45042.9487179487
"28086",11380,512540000,45038.6643233743
"27569",3410,153576000,45036.9501466276
"28627",480,21617000,45035.4166666667
"28092",15760,708297000,44942.7030456853
"28655",20880,938386000,44941.8582375479
"28602",12350,554502000,44898.9473684211
"27326",1550,69593000,44898.7096774194
"28766",710,31876000,44895.7746478873
"28709",940,42199000,44892.5531914894
"27846",1260,56563000,44891.2698412698
"28470",4130,185364000,44882.3244552058
"28457",4430,198523000,44813.3182844244
"27371",2990,133985000,44811.0367892977
"27052",4420,197899000,44773.5294117647
"28315",5550,248402000,44757.1171171171
"28447",500,22374000,44748
"27051",3580,160182000,44743.5754189944
"28610",4440,198651000,44741.2162162162
"28539",6730,300997000,44724.6656760773
"28168",4240,189461000,44684.1981132075
"27549",9210,410920000,44616.7209554832
"28690",3900,173784000,44560
"27505",2910,129533000,44513.058419244
"27530",15560,692183000,44484.7686375321
"28540",20280,901030000,44429.4871794872
"27022",590,26213000,44428.813559322
"28651",2670,118500000,44382.0224719101
"27107",20690,916613000,44302.2232962784
"28523",1150,50941000,44296.5217391304
"28716",7600,335174000,44101.8421052632
"28088",1440,63503000,44099.3055555556
"28753",4580,201840000,44069.8689956332
"27017",3620,159261000,43994.7513812155
"28748",5350,235145000,43952.3364485981
"28318",1990,87399000,43919.0954773869
"28438",580,25461000,43898.275862069
"28618",1030,45198000,43881.5533980583
"28018",2110,92561000,43867.7725118483
"28430",710,31097000,43798.5915492958
"28644",620,27111000,43727.4193548387
"28677",14740,644508000,43725.1017639077
"27020",2610,114091000,43713.0268199234
"28444",890,38904000,43712.3595505618
"28547",2840,124001000,43662.323943662
"28752",12240,534039000,43630.637254902
"27852",1140,49707000,43602.6315789474
"28337",3930,171166000,43553.68956743
"27812",1000,43550000,43550
"28665",1040,45272000,43530.7692307692
"28529",870,37860000,43517.2413793103
"28678",2100,91369000,43509.0476190476
"28216",25490,1106549000,43411.1023930953
"28034",7620,330762000,43407.0866141732
"27409",8690,376959000,43378.4810126582
"27292",15890,688881000,43353.1151667716
"27360",19690,853451000,43344.3880142204
"27521",2520,109118000,43300.7936507937
"27939",1210,52391000,43298.347107438
"28532",9650,417818000,43297.2020725389
"28513",4020,174022000,43289.0547263682
"27046",820,35478000,43265.8536585366
"28792",13860,599441000,43249.7113997114
"28553",220,9514000,43245.4545454545
"28098",1830,79054000,43198.9071038251
"28425",4260,183957000,43182.3943661972
"28670",1100,47480000,43163.6363636364
"27054",1180,50911000,43144.9152542373
"28778",4720,203589000,43133.2627118644
"28574",7060,303929000,43049.433427762
"28714",6180,265565000,42971.6828478964
"27544",1780,76431000,42938.7640449438
"28631",240,10287000,42862.5
"28436",890,38137000,42850.5617977528
"28698",840,35976000,42828.5714285714
"28033",1270,54310000,42763.7795275591
"27884",610,26027000,42667.2131147541
"27299",2120,90339000,42612.7358490566
"28777",3640,155070000,42601.6483516483
"28663",260,11074000,42592.3076923077
"28376",16440,700197000,42591.0583941606
"27011",2360,100447000,42562.2881355932
"28645",18070,769068000,42560.4869950194
"28723",2870,122141000,42557.8397212544
"27263",9370,398513000,42530.7363927428
"27212",660,28029000,42468.1818181818
"28546",20100,852688000,42422.2885572139
"27986",480,20270000,42229.1666666667
"27829",740,31225000,42195.9459459459
"28623",680,28636000,42111.7647058823
"28551",5580,234975000,42110.2150537634
"27862",330,13867000,42021.2121212121
"28090",2970,124591000,41949.8316498316
"28304",16340,683978000,41859.1187270502
"27947",440,18412000,41845.4545454545
"27830",1900,79488000,41835.7894736842
"27885",400,16715000,41787.5
"27870",11220,468763000,41779.2335115865
"28152",9820,410105000,41762.2199592668
"27910",4470,186500000,41722.5950782998
"28806",20220,843256000,41704.0553907023
"27807",2970,123842000,41697.6430976431
"28390",9180,382680000,41686.2745098039
"27344",7580,315200000,41583.1134564644
"27834",22120,919298000,41559.5840867993
"27892",6060,251590000,41516.501650165
"28906",7610,315691000,41483.7056504599
"28611",300,12423000,41410
"28328",10420,431251000,41386.8522072937
"28705",2370,97917000,41315.1898734177
"28713",3780,156024000,41276.1904761905
"28472",7240,298800000,41270.7182320442
"28320",3100,127935000,41269.3548387097
"27851",2230,92013000,41261.4349775785
"28314",24970,1029241000,41219.1029235082
"28373",1080,44502000,41205.5555555556
"27882",3180,131020000,41201.2578616352
"28352",8770,361096000,41174.0022805017
"28638",5320,218995000,41164.4736842105
"27923",330,13582000,41157.5757575758
"27509",1820,74775000,41085.1648351648
"28515",840,34484000,41052.380952381
"27248",1900,77990000,41047.3684210526
"28763",1070,43855000,40985.9813084112
"28585",1600,65545000,40965.625
"27970",1370,56020000,40890.5109489051
"28365",6580,269003000,40881.914893617
"28789",2540,103772000,40855.1181102362
"28020",970,39617000,40842.2680412371
"28432",750,30619000,40825.3333333333
"28521",920,37530000,40793.4782608696
"28612",4460,181857000,40775.1121076233
"28511",250,10187000,40748
"27288",9210,374970000,40713.3550488599
"28528",270,10986000,40688.8888888889
"28637",1120,45481000,40608.0357142857
"28433",1770,71873000,40606.2146892655
"28719",4190,170059000,40586.8735083532
"27818",510,20689000,40566.6666666667
"27845",740,30011000,40555.4054054054
"28636",2160,87585000,40548.6111111111
"27557",3290,133278000,40510.0303951368
"28174",3440,139167000,40455.523255814
"27965",260,10516000,40446.1538461538
"28341",1770,71574000,40437.2881355932
"27355",1130,45681000,40425.6637168142
"28518",3260,131784000,40424.5398773006
"27341",2230,90065000,40387.8923766816
"28526",920,37156000,40386.9565217391
"27820",1120,45191000,40349.1071428571
"28762",2990,120527000,40310.0334448161
"28371",2930,117967000,40261.7747440273
"28675",2530,101812000,40241.8972332016
"28525",1370,55110000,40226.2773722628
"28456",1550,62342000,40220.6451612903
"28344",1200,48240000,40200
"27855",2170,87172000,40171.4285714286
"27942",330,13244000,40133.3333333333
"28040",2890,115945000,40119.3771626298
"27406",26280,1053664000,40093.7595129376
"28396",1110,44467000,40060.3603603604
"28358",13500,540112000,40008.2962962963
"27379",1890,75380000,39883.5978835979
"28624",630,25120000,39873.0158730159
"27553",940,37467000,39858.5106382979
"28016",5480,217955000,39772.8102189781
"28043",7810,310392000,39742.8937259923
"28702",180,7150000,39722.2222222222
"28586",2900,115149000,39706.5517241379
"28771",3100,122947000,39660.3225806452
"28555",2240,88832000,39657.1428571429
"27027",1720,68127000,39608.7209302326
"28580",4130,163305000,39541.1622276029
"28455",730,28803000,39456.1643835616
"28606",830,32711000,39410.843373494
"28392",700,27580000,39400
"27816",1150,45304000,39394.7826086957
"27886",8640,340274000,39383.5648148148
"28114",2530,99623000,39376.6798418972
"28382",2910,114508000,39349.8281786942
"28401",9820,386373000,39345.5193482688
"27875",180,7078000,39322.2222222222
"27537",9700,381052000,39283.7113402062
"28634",2130,83527000,39214.5539906103
"27924",1170,45881000,39214.5299145299
"28215",26290,1030929000,39213.7314568277
"28423",850,33271000,39142.3529411765
"28743",790,30904000,39118.9873417722
"27890",940,36714000,39057.4468085106
"27983",3440,134346000,39054.0697674419
"28379",9740,380161000,39030.9034907598
"28435",1050,40881000,38934.2857142857
"28649",360,14002000,38894.4444444444
"27356",1150,44695000,38865.2173913043
"28683",700,27170000,38814.2857142857
"27305",650,25221000,38801.5384615385
"28478",1840,71371000,38788.5869565217
"28083",10670,413845000,38785.8481724461
"28740",840,32577000,38782.1428571429
"28685",740,28651000,38717.5675675676
"27576",6890,266710000,38709.7242380261
"28135",1450,56108000,38695.1724137931
"28901",2030,78523000,38681.2807881773
"28454",1250,48348000,38678.4
"27024",970,37458000,38616.4948453608
"28783",520,20037000,38532.6923076923
"28657",3290,126751000,38526.1398176292
"28421",630,24192000,38400
"28357",1110,42517000,38303.6036036036
"28434",460,17614000,38291.3043478261
"28385",1420,54349000,38273.9436619718
"28399",740,28302000,38245.9459459459
"27316",2810,107317000,38191.103202847
"27953",440,16792000,38163.6363636364
"28213",19370,738908000,38147.0314919979
"28587",120,4574000,38116.6666666667
