"","country","year","hourly_compensation"
"638","Germany","2001.0",22.5100002288818
"639","Greece","2001.0",7.96000003814697
"640","Hong Kong, China","2001.0",5.73999977111816
"641","Hungary","2001.0",3.13000011444092
"642","Ireland","2001.0",14.1599998474121
"643","Israel","2001.0",12.1800003051758
"644","Italy","2001.0",14.5600004196167
"645","Japan","2001.0",19.3500003814697
"646","Korea, Rep.","2001.0",7.69999980926514
"647","Luxembourg","2001.0",17.0699996948242
"648","Mexico","2001.0",2.33999991416931
"649","Netherlands","2001.0",19.8799991607666
"650","New Zealand","2001.0",7.96999979019165
"651","Norway","2001.0",23.5100002288818
"652","Philippines","2001.0",0.75
"653","Poland","2001.0",3.19000005722046
"654","Portugal","2001.0",4.57999992370606
"655","Singapore","2001.0",7.03000020980835
"656","Spain","2001.0",10.8800001144409
"657","Sri Lanka","2001.0",0.44999998807907
"658","Sweden","2001.0",19.0699996948242
"659","Switzerland","2001.0",21.5300006866455
"660","Taiwan","2001.0",6.05000019073486
"661","United Kingdom","2001.0",16.9099998474121
"662","United States","2001.0",20.5200004577637
"663","Australia","2002.0",15.3999996185303
"664","Austria","2002.0",20.6599998474121
"665","Belgium","2002.0",21.7700004577637
